,SalePrice,Id,Overall Qual,Gr Liv Area,Garage Area,Garage Cars,Total Bsmt SF,1st Flr SF,Year Built,Full Bath,Mas Vnr Area,TotRms AbvGrd,Fireplaces,BsmtFin SF 1,Wood Deck SF,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Cond,Functional,Sale Type
132,137900,414,6,1456,440.0,2.0,855.0,855,1977,2,0.0,6,1,389.0,0,NPkVill,Norm,Norm,Twnhs,2Story,5,Typ,WD 
133,324000,1181,8,1719,473.0,2.0,1719.0,1719,1993,1,0.0,6,2,1619.0,122,Veenker,Norm,Norm,TwnhsE,1Story,5,Typ,Con
134,98000,1514,5,864,0.0,0.0,864.0,864,1925,1,0.0,5,0,468.0,0,Edwards,Norm,Norm,1Fam,1Story,6,Typ,WD 
135,103400,1040,6,987,264.0,1.0,483.0,483,1973,1,359.0,5,0,458.0,52,BrDale,Norm,Norm,Twnhs,2Story,5,Typ,WD 
136,94000,216,5,1020,0.0,0.0,780.0,780,1875,1,0.0,6,0,0.0,0,Sawyer,Feedr,Norm,1Fam,1.5Fin,8,Typ,WD 
137,209500,1720,8,1554,627.0,2.0,1554.0,1554,2006,2,108.0,6,1,24.0,156,NridgHt,Norm,Norm,Twnhs,1Story,5,Typ,WD 
138,545224,2331,10,3390,758.0,3.0,1528.0,1528,2006,3,662.0,10,1,0.0,204,StoneBr,Norm,Norm,1Fam,2Story,5,Typ,New
139,159900,204,6,1560,0.0,0.0,780.0,780,1912,1,0.0,7,0,0.0,344,OldTown,Norm,Norm,1Fam,2Story,8,Typ,WD 
140,141000,19,4,864,400.0,2.0,864.0,864,1951,1,0.0,4,0,120.0,0,Gilbert,Norm,Norm,1Fam,1Story,5,Typ,WD 
141,215000,2438,6,1889,431.0,2.0,982.0,1008,2000,2,0.0,9,1,732.0,0,Gilbert,Norm,Norm,1Fam,2Story,5,Typ,WD 
142,127000,89,5,1040,260.0,1.0,1040.0,1040,1962,1,0.0,6,0,659.0,0,Sawyer,Norm,Norm,1Fam,1Story,8,Typ,WD 
143,128000,240,5,1172,366.0,1.0,1172.0,1172,1954,1,0.0,5,0,954.0,240,Edwards,Norm,Norm,1Fam,1Story,7,Typ,WD 
144,267916,105,8,1418,852.0,3.0,1642.0,1418,2010,1,0.0,6,1,1032.0,160,Somerst,Norm,Norm,1Fam,1Story,5,Typ,New
145,127500,2020,6,1367,560.0,1.0,884.0,959,1931,1,0.0,6,1,425.0,0,BrkSide,Norm,Norm,1Fam,1.5Fin,6,Typ,WD 
146,198500,888,7,1922,672.0,2.0,0.0,495,2003,3,500.0,7,1,0.0,0,Edwards,Norm,Norm,1Fam,SFoyer,5,Typ,ConLD
147,175500,1019,6,1422,576.0,2.0,1422.0,1422,1981,2,210.0,7,1,588.0,276,NWAmes,Norm,Norm,1Fam,1Story,6,Typ,WD 
148,217500,2132,7,1842,486.0,2.0,985.0,985,2000,2,144.0,7,1,841.0,193,CollgCr,Norm,Norm,1Fam,2Story,5,Typ,WD 
149,149500,203,4,1962,572.0,2.0,888.0,888,1915,1,0.0,9,1,0.0,160,OldTown,Norm,Norm,1Fam,1.5Fin,5,Typ,WD 
150,148800,420,5,1120,656.0,2.0,864.0,1120,1966,1,165.0,5,1,644.0,0,NAmes,Norm,Norm,1Fam,1Story,7,Typ,WD 
151,556581,2333,9,2868,716.0,3.0,1992.0,1992,2005,3,208.0,11,1,240.0,214,StoneBr,Norm,Norm,1Fam,2Story,5,Typ,New
152,156500,632,6,1478,442.0,2.0,1478.0,1478,1957,1,0.0,6,2,189.0,114,NAmes,Norm,Norm,1Fam,1Story,3,Typ,WD 
153,237000,2800,7,1995,610.0,2.0,930.0,950,1995,2,0.0,8,1,685.0,275,CollgCr,Norm,Norm,1Fam,2Story,5,Typ,WD 
154,120000,1885,5,912,297.0,1.0,912.0,912,1958,1,0.0,5,0,111.0,12,NAmes,Norm,Norm,1Fam,1Story,7,Typ,WD 
155,203000,1734,6,1326,388.0,2.0,1326.0,1326,2005,2,0.0,6,0,918.0,120,Gilbert,Norm,Norm,1Fam,1Story,5,Typ,WD 
156,130000,2327,8,1204,461.0,2.0,1191.0,1204,1987,2,0.0,5,0,0.0,120,StoneBr,Norm,Norm,TwnhsE,1Story,5,Typ,WD 
157,167900,1282,6,1611,442.0,2.0,780.0,798,1964,1,360.0,7,0,674.0,328,NAmes,Norm,Norm,1Fam,2Story,6,Typ,WD 
158,129000,2688,4,960,576.0,2.0,960.0,960,1970,1,160.0,6,0,789.0,0,BrkSide,RRAn,Norm,2fmCon,1Story,5,Typ,WD 
159,134450,2581,5,1236,447.0,1.0,1070.0,1236,1957,1,64.0,6,1,360.0,0,NAmes,Norm,Norm,1Fam,1Story,6,Min1,WD 
160,112000,2067,5,1416,576.0,2.0,816.0,1416,1918,2,0.0,7,0,0.0,0,Sawyer,Norm,Norm,1Fam,1Story,7,Typ,WD 
161,207000,2115,7,1873,619.0,2.0,929.0,946,1988,2,360.0,7,1,608.0,108,SawyerW,Norm,Norm,1Fam,2Story,5,Typ,WD 
162,62500,754,5,2128,0.0,0.0,1040.0,1088,1922,2,0.0,11,0,0.0,0,OldTown,Norm,Norm,Duplex,2Story,1,Sev,WD 
163,154000,1079,7,1626,474.0,2.0,764.0,764,2003,2,106.0,6,0,573.0,0,NridgHt,Norm,Norm,Twnhs,2Story,5,Typ,WD 
164,129900,2615,5,816,308.0,1.0,816.0,816,1957,1,0.0,5,0,708.0,0,NAmes,Norm,Norm,1Fam,1Story,7,Typ,WD 
165,85000,329,5,1112,336.0,1.0,536.0,536,1976,1,0.0,4,0,129.0,182,MeadowV,Norm,Norm,TwnhsE,2Story,3,Typ,WD 
166,116900,1320,7,1111,288.0,1.0,572.0,572,1926,1,0.0,5,1,0.0,0,OldTown,Norm,Norm,1Fam,1.5Fin,7,Typ,WD 
167,148500,416,6,1441,440.0,2.0,855.0,855,1978,2,0.0,7,1,311.0,28,NPkVill,Norm,Norm,Twnhs,2Story,6,Typ,WD 
168,80000,284,4,924,280.0,1.0,672.0,672,1941,1,0.0,5,0,348.0,0,Edwards,Norm,Norm,2fmCon,1.5Fin,4,Typ,WD 
169,152000,1385,5,1126,506.0,2.0,1060.0,1126,1984,1,0.0,5,0,104.0,178,Sawyer,Norm,Norm,1Fam,SFoyer,5,Typ,WD 
170,155891,275,5,992,319.0,1.0,381.0,992,1954,1,0.0,6,0,0.0,60,Edwards,Norm,Norm,1Fam,1Story,6,Typ,Oth
